# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,3.3714334095334855,4.761793113329817,0.09280673846756805,0,3.0,0.27075575160208176,0.0,0.0,0.0
 0.0894279835065204,3.3834294401475544,4.761812544315117,0.09280673846756805,0.26828395051956117,2.9999999999999996,0.27075575160208176,0.0,5.025088382167798,0.0
 0.12644910946926538,3.395417317758595,4.761870886137486,0.2788411684377285,0.37934732840779606,2.9999999999999987,0.2718282198615568,0.0,6.573746380936798,0.0
 0.15484156320277195,3.4073967210198575,4.761968212096624,0.4654859584142828,0.4645246896083157,2.9999999999999982,0.2729244824604982,0.0,7.827866775591124,0.0
 0.17876474112279345,3.419367328584592,4.762104595492234,0.6527534080209743,0.5362942233683803,3.0000000000000036,0.27404471512314926,0.0,8.920028798800214,0.0
 0.19982997295696225,3.4313288191060485,4.762280109624014,0.8406558826351631,0.5994899188708867,2.9999999999999973,0.2751890972588691,0.0,9.906073222263364,0.0
 0.21886374424241825,3.4432808712374774,4.762494827791668,1.029205814684704,0.6565912327272546,2.9999999999999987,0.2763578120908466,0.0,10.816115203707898,0.0
 0.23635707586302165,3.455223163632129,4.762748823294895,1.2184157047898168,0.7090712275890648,3.0,0.27755104651742696,0.0,11.66866543457832,0.0
 0.25262992380184496,3.4671553749432533,4.763042169433397,1.4082981230557132,0.7578897714055348,3.0000000000000053,0.2787689911787154,0.0,12.476090490495405,0.0
 0.26790454747312464,3.4790771838241015,4.763374939506875,1.5988657101868617,0.8037136424193738,2.9999999999999964,0.2800118403744963,0.0,13.247149510619522,0.0
 0.28234278328893797,3.4909882689279224,4.7637472068150295,1.7901311787085226,0.8470283498668137,2.999999999999996,0.2812797921856888,0.0,13.988322798961795,0.0
 0.2960668114061083,3.5028883089079668,4.764159044657562,1.982107314113529,0.8882004342183246,2.999999999999992,0.28257304815562856,0.0,14.70456996801324,0.0
 0.30917155790935164,3.5147769824174855,4.764610526334173,2.1748069759835476,0.9275146737280546,3.0,0.2838918137002493,0.0,15.399791513616078,0.0
 0.32173251517911833,3.5266539681097284,4.765101725144565,2.3682430991493946,0.9651975455373547,3.0,0.28523629761190483,0.0,16.077124485559136,0.0
 0.3338108937312176,3.538518944637945,4.765632714388439,2.562428694715202,1.0014326811936525,3.0,0.2866067123199877,0.0,16.73913986169325,0.0
 0.3454571406763334,3.550371590655386,4.766203567365493,2.757376851193313,1.036371422029,3.000000000000005,0.28800327391516756,0.0,17.38797884011995,0.0
 0.35671341641606513,3.5622115848153024,4.7668143573754325,2.953100735574324,1.0701402492481953,3.0000000000000098,0.2894262017101505,0.0,18.025449682906167,0.0
 0.3676153834762054,3.5740386057709435,4.767465157717956,3.1496135942615835,1.102846150428616,2.999999999999985,0.2908757187525823,0.0,18.653098260626916,0.0
 0.378193527501032,3.58585233217556,4.768156041692763,3.3469287541717376,1.1345805825030957,2.9999999999999893,0.2923520514109625,0.0,19.272260494407817,0.0
 0.3884741517985554,3.597652442682402,4.768887082599559,3.545059623678746,1.1654224553956658,3.0000000000000053,0.2938554293929796,0.0,19.884102091949757,0.0
 0.3984801389398895,3.609438615944719,4.769658353738041,3.74401969352777,1.195440416819668,2.9999999999999836,0.2953860857324295,0.0,20.489649152055815,0.0
 0.4082315428217195,3.6212105306157625,4.770469928407912,3.9438225378064615,1.2246946284651579,2.9999999999999942,0.29694425685924725,0.0,21.089812059090757,0.0
 0.417746055158485,3.632967865348782,4.771321879908873,4.144481814822747,1.2532381654754545,3.0000000000000058,0.29853018226787503,0.0,21.685404391172884,0.0
 0.4270393774989721,3.6447102987970275,4.772214281540624,4.346011267913731,1.2811181324969156,2.999999999999988,0.30014410478279824,0.0,22.277158075757516,0.0
 0.43612552115191944,3.65643750961375,4.773147206602868,4.54842472636948,1.3083765634557578,3.0000000000000124,0.3017862701385609,0.0,22.865735612216696,0.0
 0.4450170513946601,3.668149176452199,4.774120728395303,4.751736106088016,1.3350511541839798,3.000000000000006,0.30345692732454194,0.0,23.45174010472945,0.0
 0.453725288116967,3.6798449779656255,4.775134920217632,4.955959410470019,1.3611758643509007,3.000000000000013,0.3051563281051646,0.0,24.035723475680104,0.0
 0.46226047203876164,3.6915245928072786,4.776189855369558,5.161108731028346,1.3867814161162846,3.0,0.30688472730193944,0.0,24.618193322465803,0.0
 0.470631903457569,3.70318769963041,4.7772856071507785,5.36719824808231,1.4118957103727068,3.0000000000000133,0.3086423824796829,0.0,25.199618645976187,0.0
 0.4788480588791708,3.714833977088268,4.7784222488609975,5.574242231442745,1.4365441766375122,3.0,0.31042955382919935,0.0,25.780434653831378,0.0
 0.48691668969392393,3.726463103834105,4.779599853799913,5.782255040908378,1.4607500690817716,3.0000000000000067,0.3122465044662168,0.0,26.361046869314915,0.0
 0.4948449061658555,3.73807475852117,4.780818495267228,5.991251126915041,1.4845347184975666,3.000000000000021,0.31409349974864004,0.0,26.94183458537284,0.0
 0.5026392493214573,3.7496686198027134,4.7820782465626435,6.201245030914898,1.5079177479643722,3.0000000000000284,0.31597080759845825,0.0,27.523153872576003,0.0
 0.5103057528032305,3.7612443663319852,4.783379180985861,6.412251385908382,1.5309172584096917,2.9999999999999853,0.31787869831668736,0.0,28.10534012781258,0.0
 0.5178499963490214,3.7728016767622363,4.78472137183658,6.624284916769889,1.5535499890470645,3.0000000000000293,0.31981744436904097,0.0,28.688710310085217,0.0
